subject_number,subject,subject_slug,topic_number,topic_name,slug,status,ref_nptel,ref_libretexts,ref_mit_ocw,youtube_id,scheduled_at_ist,updated_at,notes
4,Reaction Engineering,reaction-engineering,1,Types of chemical reactions,01_types_of_chemical_reactions,pending,Chemical Reaction Engineering,Chemical Reaction Engineering,Chemical Engineering — Chemical and Biological Reaction Engineering,,,,
4,Reaction Engineering,reaction-engineering,2,Rate of reaction,02_rate_of_reaction,pending,Chemical Reaction Engineering,Chemical Reaction Engineering,Chemical Engineering — Chemical and Biological Reaction Engineering,,,,
4,Reaction Engineering,reaction-engineering,3,Batch reactor,03_batch_reactor,pending,Chemical Reaction Engineering,Chemical Reaction Engineering,Chemical Engineering — Chemical and Biological Reaction Engineering,,,,
4,Reaction Engineering,reaction-engineering,4,Continuous stirred tank reactor CSTR,04_continuous_stirred_tank_reactor_cstr,pending,Chemical Reaction Engineering,Chemical Reaction Engineering,Chemical Engineering — Chemical and Biological Reaction Engineering,,,,
4,Reaction Engineering,reaction-engineering,5,Plug flow reactor PFR,05_plug_flow_reactor_pfr,pending,Chemical Reaction Engineering,Chemical Reaction Engineering,Chemical Engineering — Chemical and Biological Reaction Engineering,,,,
4,Reaction Engineering,reaction-engineering,6,Yield and selectivity,06_yield_and_selectivity,pending,Chemical Reaction Engineering,Chemical Reaction Engineering,Chemical Engineering — Chemical and Biological Reaction Engineering,,,,
4,Reaction Engineering,reaction-engineering,7,Temperature effects on reaction rate,07_temperature_effects_on_reaction_rate,pending,Chemical Reaction Engineering,Chemical Reaction Engineering,Chemical Engineering — Chemical and Biological Reaction Engineering,,,,
5,Thermodynamics,thermodynamics,1,First law of thermodynamics,01_first_law_of_thermodynamics,pending,Chemical Engineering Thermodynamics,Chemical Engineering Thermodynamics,Chemical Engineering — Thermodynamics,,,,
5,Thermodynamics,thermodynamics,2,Second law and entropy,02_second_law_and_entropy,pending,Chemical Engineering Thermodynamics,Chemical Engineering Thermodynamics,Chemical Engineering — Thermodynamics,,,,
5,Thermodynamics,thermodynamics,3,Phase equilibrium,03_phase_equilibrium,pending,Chemical Engineering Thermodynamics,Chemical Engineering Thermodynamics,Chemical Engineering — Thermodynamics,,,,
5,Thermodynamics,thermodynamics,4,Vapour liquid equilibrium VLE,04_vapour_liquid_equilibrium_vle,pending,Chemical Engineering Thermodynamics,Chemical Engineering Thermodynamics,Chemical Engineering — Thermodynamics,,,,
5,Thermodynamics,thermodynamics,5,Equations of state,05_equations_of_state,pending,Chemical Engineering Thermodynamics,Chemical Engineering Thermodynamics,Chemical Engineering — Thermodynamics,,,,
5,Thermodynamics,thermodynamics,6,Refrigeration cycles,06_refrigeration_cycles,pending,Chemical Engineering Thermodynamics,Chemical Engineering Thermodynamics,Chemical Engineering — Thermodynamics,,,,
6,Separation Processes,separation-processes,1,Filtration,01_filtration,pending,Mechanical Operations,Separation Processes,Chemical Engineering — Separation Processes,,,,
6,Separation Processes,separation-processes,2,Centrifugation,02_centrifugation,pending,Mechanical Operations,Separation Processes,Chemical Engineering — Separation Processes,,,,
6,Separation Processes,separation-processes,3,Sedimentation,03_sedimentation,pending,Mechanical Operations,Separation Processes,Chemical Engineering — Separation Processes,,,,
6,Separation Processes,separation-processes,4,Membrane separation,04_membrane_separation,pending,Mechanical Operations,Separation Processes,Chemical Engineering — Separation Processes,,,,
